class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Adho mukha svanasana - Downward_facing Dog,0.5208014845848083,0.7045741081237793,-0.011319638229906559,0.9997010827064514,0.5310133099555969,0.6995588541030884,0.0015020963037386537,0.9995691180229187,0.5316371917724609,0.6969393491744995,0.001470195478759706,0.9996229410171509,0.5323874950408936,0.6943830251693726,0.0014583179727196693,0.9996567964553833,0.5309053659439087,0.7001356482505798,-0.030802737921476364,0.9996896982192993,0.5312557220458984,0.69783616065979,-0.030817773193120956,0.9997156262397766,0.5315700173377991,0.695630669593811,-0.03087473288178444,0.9997112154960632,0.5344167947769165,0.6727331876754761,0.06328491121530533,0.9994903802871704,0.5326732993125916,0.6761261820793152,-0.0838862955570221,0.9996851682662964,0.5137539505958557,0.6911238431930542,0.01579841412603855,0.9995161294937134,0.5142353177070618,0.6907097101211548,-0.027182340621948242,0.9995079040527344,0.50972580909729,0.6254021525382996,0.14704526960849762,0.9989063739776611,0.5052518248558044,0.6472381949424744,-0.14494195580482483,0.9995242357254028,0.5279293656349182,0.7346773147583008,0.17742952704429626,0.25854554772377014,0.5237644910812378,0.7714986801147461,-0.2708028256893158,0.9976341724395752,0.5516953468322754,0.8179165124893188,0.010048141703009605,0.7445966005325317,0.5571534633636475,0.8767650127410889,-0.2805890738964081,0.9968585968017578,0.5685964822769165,0.8307007551193237,-0.0018173980060964823,0.8802753686904907,0.576336681842804,0.8947336673736572,-0.3307074308395386,0.9945065379142761,0.5716342926025391,0.8377891778945923,-0.03696097433567047,0.8863864541053772,0.5805988311767578,0.886417806148529,-0.29842182993888855,0.9932911396026611,0.5637271404266357,0.8343355655670166,-0.009145485237240791,0.8843725323677063,0.5715842843055725,0.8783196210861206,-0.2707466781139374,0.9910146594047546,0.3906748294830322,0.4902786612510681,0.09873641282320023,0.9995920062065125,0.3940802812576294,0.5076074600219727,-0.09836047142744064,0.9993987083435059,0.35201266407966614,0.6469234824180603,0.13893720507621765,0.5314585566520691,0.3822246193885803,0.6783003807067871,-0.05208231136202812,0.9968990087509155,0.2946262061595917,0.7699975967407227,0.25645971298217773,0.8239148855209351,0.304566890001297,0.7707093358039856,0.06602674722671509,0.9960112571716309,0.27754995226860046,0.7883148789405823,0.26467517018318176,0.9152624011039734,0.2869347929954529,0.794309139251709,0.07297341525554657,0.9939216375350952,0.31775957345962524,0.8178588151931763,0.20065584778785706,0.9338602423667908,0.33255699276924133,0.8269400596618652,0.013486345298588276,0.9969592094421387
Adho mukha svanasana - Downward_facing Dog,0.5038646459579468,0.7250424027442932,-0.09047284722328186,0.9997144937515259,0.5118604898452759,0.7177000045776367,-0.07769352942705154,0.9995928406715393,0.5116084814071655,0.715114951133728,-0.07770134508609772,0.9996439814567566,0.5115036964416504,0.7119624018669128,-0.0777023583650589,0.9996710419654846,0.5115143060684204,0.7184985876083374,-0.10884632170200348,0.9997076392173767,0.5106233358383179,0.7167065143585205,-0.10889748483896255,0.999733030796051,0.5095404386520386,0.7148421406745911,-0.10895788669586182,0.9997280836105347,0.5073695778846741,0.6911512613296509,-0.019166503101587296,0.9995204210281372,0.5027527809143066,0.6966512203216553,-0.1611596643924713,0.9997046589851379,0.49246054887771606,0.7129705548286438,-0.06465911120176315,0.9995478987693787,0.4913884103298187,0.7125594019889832,-0.10628427565097809,0.9995423555374146,0.4845605790615082,0.6580129861831665,0.07413965463638306,0.9988386631011963,0.47175168991088867,0.6751669645309448,-0.22120726108551025,0.9995265603065491,0.51639723777771,0.7506337761878967,0.13279929757118225,0.2812040448188782,0.5059422850608826,0.7850627303123474,-0.36154526472091675,0.9977391362190247,0.552237868309021,0.8249744772911072,0.012251630425453186,0.748644232749939,0.5555520057678223,0.8768145442008972,-0.3963589072227478,0.9969902038574219,0.5696279406547546,0.8336573839187622,0.01251934189349413,0.881132960319519,0.5723978877067566,0.893252968788147,-0.4507668912410736,0.9946411848068237,0.5726578831672668,0.8387523889541626,-0.024493860080838203,0.8868024945259094,0.57686847448349,0.8840191960334778,-0.41989511251449585,0.9934370517730713,0.5645362734794617,0.8363233208656311,-0.005656064487993717,0.8847892880439758,0.5692487359046936,0.8778945803642273,-0.38717928528785706,0.9912356734275818,0.3811694085597992,0.4961756765842438,0.10742683708667755,0.999461829662323,0.36702337861061096,0.5071537494659424,-0.10701290518045425,0.9993468523025513,0.34279412031173706,0.6550842523574829,0.1704559475183487,0.5288923978805542,0.33486682176589966,0.6713457703590393,-0.04675623029470444,0.9970474243164062,0.29009777307510376,0.7814127802848816,0.2875663638114929,0.8241063356399536,0.2767728269100189,0.7985142469406128,0.043843597173690796,0.9962145686149597,0.27466875314712524,0.7977126836776733,0.2940514087677002,0.9147858023643494,0.26092642545700073,0.8196937441825867,0.04423150792717934,0.9941427707672119,0.31954246759414673,0.8294944763183594,0.24358968436717987,0.9339591264724731,0.3148040771484375,0.8462289571762085,-0.03912395238876343,0.9971215724945068
Adho mukha svanasana - Downward_facing Dog,0.5075298547744751,0.724641740322113,-0.16149941086769104,0.9997308254241943,0.5164968371391296,0.7149772644042969,-0.14860911667346954,0.9996200799942017,0.516557514667511,0.7123857140541077,-0.14864304661750793,0.999668538570404,0.5167633295059204,0.7093786001205444,-0.14866654574871063,0.9996921420097351,0.5162251591682434,0.7155340313911438,-0.18162083625793457,0.9997270107269287,0.5157691240310669,0.7136645913124084,-0.1817014515399933,0.9997514486312866,0.5151943564414978,0.7120333909988403,-0.18175837397575378,0.9997462630271912,0.5128606557846069,0.6885883808135986,-0.0814487561583519,0.9995566606521606,0.5093642473220825,0.6944191455841064,-0.23135359585285187,0.999722957611084,0.4978543817996979,0.7164750695228577,-0.1320313811302185,0.9995782971382141,0.4972646236419678,0.714443027973175,-0.17603421211242676,0.9995736479759216,0.48369231820106506,0.6555471420288086,0.02654787339270115,0.9987848401069641,0.4736936688423157,0.6706446409225464,-0.2883789539337158,0.999482274055481,0.5137996673583984,0.7539309859275818,0.09281619638204575,0.31526559591293335,0.5045706629753113,0.785625696182251,-0.4252367615699768,0.9978388547897339,0.5556777119636536,0.8272289633750916,-0.011916564777493477,0.7580960988998413,0.5554085969924927,0.8768858909606934,-0.466494619846344,0.9970493912696838,0.5746847987174988,0.8340107202529907,-0.01406092382967472,0.8830317258834839,0.5724422335624695,0.8921470046043396,-0.5291434526443481,0.9946644902229309,0.5768852829933167,0.8387852311134338,-0.05464926362037659,0.888408362865448,0.5768186450004578,0.8814398050308228,-0.5012491941452026,0.9934612512588501,0.5682657957077026,0.8365841507911682,-0.03128863498568535,0.8860993385314941,0.5693440437316895,0.8770787715911865,-0.45984092354774475,0.9913044571876526,0.3802424967288971,0.5027410984039307,0.11252641677856445,0.9993957877159119,0.36406227946281433,0.5052451491355896,-0.11200990527868271,0.9993079304695129,0.3420702815055847,0.6607885360717773,0.18017886579036713,0.5374847054481506,0.33131152391433716,0.6701584458351135,-0.0472555086016655,0.9971511960029602,0.2885448634624481,0.7870344519615173,0.3041204810142517,0.8224930167198181,0.2693271040916443,0.8064129948616028,0.043250493705272675,0.9962967038154602,0.27389559149742126,0.8053581118583679,0.3115985691547394,0.9104956984519958,0.25296491384506226,0.8291114568710327,0.044698331505060196,0.9941014051437378,0.320376455783844,0.8344775438308716,0.25736644864082336,0.9320927262306213,0.3112855553627014,0.8540324568748474,-0.043558575212955475,0.9971840381622314
Adho mukha svanasana - Downward_facing Dog,0.5095926523208618,0.7240213751792908,-0.14610430598258972,0.9997462034225464,0.5183334350585938,0.7133128046989441,-0.13390830159187317,0.9996442198753357,0.5184574723243713,0.7107166051864624,-0.133943110704422,0.9996902346611023,0.5187545418739319,0.7077954411506653,-0.1339763104915619,0.9997106790542603,0.5179826021194458,0.7140109539031982,-0.16687627136707306,0.9997444748878479,0.5175659656524658,0.71241694688797,-0.16694428026676178,0.9997681379318237,0.5170800685882568,0.7114361524581909,-0.16700606048107147,0.9997625350952148,0.5147145390510559,0.6869835257530212,-0.07004141807556152,0.9995893836021423,0.5111722946166992,0.694131076335907,-0.2202824056148529,0.9997392892837524,0.5001245737075806,0.7164954543113708,-0.11771105229854584,0.9996072053909302,0.49938279390335083,0.7140775322914124,-0.1617617905139923,0.9996030926704407,0.4866195619106293,0.6516212821006775,0.03277350589632988,0.9987567067146301,0.47654232382774353,0.6678024530410767,-0.2749355435371399,0.9994499683380127,0.5157309770584106,0.751599907875061,0.10032571852207184,0.3474436402320862,0.5076964497566223,0.7844470739364624,-0.4101737439632416,0.9978983402252197,0.5589247345924377,0.8275051712989807,-0.010859944857656956,0.7686002850532532,0.5554341077804565,0.8772532939910889,-0.4528462886810303,0.9970613121986389,0.578109622001648,0.8340467810630798,-0.014673145487904549,0.8865653276443481,0.572625458240509,0.8897183537483215,-0.5156914591789246,0.9946122765541077,0.5802846550941467,0.8387817144393921,-0.05549895763397217,0.8916704654693604,0.5769761800765991,0.8802134394645691,-0.4875767230987549,0.9934021830558777,0.5721575617790222,0.8366765975952148,-0.030494695529341698,0.8891623616218567,0.5695397853851318,0.8767769932746887,-0.44619616866111755,0.9912727475166321,0.38015687465667725,0.5048520565032959,0.11401998996734619,0.9993112683296204,0.3648257255554199,0.5032088160514832,-0.1134929209947586,0.9992471933364868,0.34184521436691284,0.6621803045272827,0.18159934878349304,0.5377947092056274,0.33156710863113403,0.6680575013160706,-0.04736420139670372,0.9972018003463745,0.2889977991580963,0.7869627475738525,0.3132106363773346,0.8176712989807129,0.27106472849845886,0.8069989681243896,0.047402434051036835,0.9963176250457764,0.2742307186126709,0.807294487953186,0.32160747051239014,0.9040312170982361,0.2558266818523407,0.8286924362182617,0.04999341815710068,0.9939801692962646,0.320895254611969,0.8345909118652344,0.26573243737220764,0.9286177158355713,0.31040459871292114,0.8541122674942017,-0.036242883652448654,0.9971983432769775
Adho mukha svanasana - Downward_facing Dog,0.5100339651107788,0.7238616347312927,-0.10842420905828476,0.9997466206550598,0.5195088982582092,0.7122983932495117,-0.09533346444368362,0.9996540546417236,0.5197685956954956,0.709688127040863,-0.09535866975784302,0.9997000098228455,0.5201596617698669,0.706793487071991,-0.09538356959819794,0.9997168779373169,0.5190708041191101,0.7128004431724548,-0.1283857375383377,0.9997503757476807,0.518814206123352,0.7110525369644165,-0.1284400224685669,0.9997744560241699,0.5184975862503052,0.7099636197090149,-0.1285015493631363,0.9997678995132446,0.5167004466056824,0.6862048506736755,-0.03183099254965782,0.9996026158332825,0.5134606957435608,0.6923703551292419,-0.18244071304798126,0.9997442960739136,0.5013545751571655,0.7162573337554932,-0.0806068480014801,0.9996209740638733,0.5007613897323608,0.7138219475746155,-0.12475761026144028,0.9996181130409241,0.4892632067203522,0.6508197784423828,0.0668398067355156,0.9987081289291382,0.48003488779067993,0.6660892367362976,-0.2428063601255417,0.9994292259216309,0.5169059038162231,0.7501956224441528,0.1057589054107666,0.36810335516929626,0.5095125436782837,0.782679557800293,-0.3814008831977844,0.9979587197303772,0.5598233938217163,0.8286018967628479,0.017768491059541702,0.7767878174781799,0.5554594993591309,0.8784006834030151,-0.4201882481575012,0.9971115589141846,0.5779193639755249,0.8341953754425049,0.018615063279867172,0.8898773789405823,0.5727342367172241,0.8892749547958374,-0.47943076491355896,0.9946416616439819,0.5802854895591736,0.8390581011772156,-0.02344193495810032,0.8947839736938477,0.5770765542984009,0.880234956741333,-0.4484718441963196,0.9934332966804504,0.5723422765731812,0.837127149105072,-0.0017635447438806295,0.892108142375946,0.5699458718299866,0.8768071532249451,-0.4116760194301605,0.9913278222084045,0.3808048963546753,0.5055538415908813,0.11606099456548691,0.9992281198501587,0.36731353402137756,0.5027167797088623,-0.11555387824773788,0.9991893172264099,0.3418232798576355,0.6653123497962952,0.1747143715620041,0.5388101935386658,0.33292898535728455,0.6684670448303223,-0.05573064833879471,0.9973284006118774,0.28877443075180054,0.7881190776824951,0.29752737283706665,0.8205503821372986,0.2704179584980011,0.8085425496101379,0.023590976372361183,0.9964963793754578,0.274278461933136,0.8083116412162781,0.30579060316085815,0.9047337174415588,0.25585460662841797,0.8299949765205383,0.023692429065704346,0.9941566586494446,0.32115423679351807,0.8356025815010071,0.24759943783283234,0.929485559463501,0.31149986386299133,0.8554113507270813,-0.06476457417011261,0.9973282814025879
Adho mukha svanasana - Downward_facing Dog,0.5127845406532288,0.72340327501297,-0.10018724203109741,0.9997458457946777,0.5198310613632202,0.7116917967796326,-0.08718477934598923,0.9996585845947266,0.5200284719467163,0.7091395854949951,-0.08720676600933075,0.9997047781944275,0.5205962061882019,0.7063958644866943,-0.08722993731498718,0.9997193217277527,0.5193654894828796,0.7121592164039612,-0.12013652175664902,0.9997527599334717,0.5191882848739624,0.7104341983795166,-0.12019467353820801,0.9997774958610535,0.5191572904586792,0.7094671726226807,-0.12026043236255646,0.9997706413269043,0.5176987051963806,0.6855233311653137,-0.02420203760266304,0.9996100664138794,0.5144231915473938,0.6919135451316833,-0.17414268851280212,0.9997422099113464,0.5017709732055664,0.7161905765533447,-0.0725436806678772,0.9996275305747986,0.5010145306587219,0.713740348815918,-0.11649590730667114,0.9996259808540344,0.48972287774086,0.6534509062767029,0.07572022825479507,0.9986392259597778,0.4807855188846588,0.6680523753166199,-0.23739182949066162,0.9993851780891418,0.5165538191795349,0.7514477968215942,0.1140020489692688,0.38918957114219666,0.5090777277946472,0.7838303446769714,-0.36963725090026855,0.9979511499404907,0.5597714185714722,0.829561173915863,0.02245277538895607,0.7852377891540527,0.5554845333099365,0.879055380821228,-0.40452298521995544,0.9970467686653137,0.5780394673347473,0.8343568444252014,0.019170431420207024,0.8929745554924011,0.5728157162666321,0.8884778618812561,-0.4649415612220764,0.9944955110549927,0.5808107256889343,0.8391225934028625,-0.02197236195206642,0.8977382779121399,0.5773063898086548,0.8796626329421997,-0.4361177980899811,0.9932640194892883,0.5724530220031738,0.8373805284500122,0.00245636492036283,0.8948073387145996,0.5703503489494324,0.876643717288971,-0.3971877694129944,0.9911647439002991,0.38127923011779785,0.5060709714889526,0.11710499227046967,0.9991858005523682,0.3684826195240021,0.5026200413703918,-0.11659236252307892,0.9991605281829834,0.34213805198669434,0.6672955751419067,0.17349837720394135,0.5361320376396179,0.334284245967865,0.668832540512085,-0.06043710559606552,0.9973681569099426,0.288456529378891,0.788421630859375,0.29249677062034607,0.8212474584579468,0.269744873046875,0.8095309138298035,0.020889218896627426,0.9965907335281372,0.27398037910461426,0.8095771074295044,0.3001827597618103,0.9032555222511292,0.2550506293773651,0.8321306109428406,0.02157595194876194,0.9941959977149963,0.32120710611343384,0.8355339169502258,0.24356624484062195,0.9291360378265381,0.3118765950202942,0.8554636836051941,-0.0656065046787262,0.9974001049995422
Adho mukha svanasana - Downward_facing Dog,0.508091151714325,0.7265839576721191,-0.11383233219385147,0.9997571110725403,0.5159207582473755,0.7166045308113098,-0.10224690288305283,0.9996770620346069,0.5160695314407349,0.7141147255897522,-0.10226557403802872,0.9997211694717407,0.5163737535476685,0.7114039063453674,-0.1022905558347702,0.9997326135635376,0.5152523517608643,0.7164849042892456,-0.13412757217884064,0.9997667074203491,0.5147804617881775,0.714093029499054,-0.13418728113174438,0.999790608882904,0.5142924785614014,0.7119396924972534,-0.13424822688102722,0.9997835159301758,0.5129963159561157,0.6925853490829468,-0.04401988536119461,0.9996339678764343,0.5092223286628723,0.6935707926750183,-0.18909582495689392,0.9997571706771851,0.49798980355262756,0.7173053026199341,-0.08758360147476196,0.9996498227119446,0.4965749680995941,0.71503746509552,-0.1302219033241272,0.9996492266654968,0.48618370294570923,0.6564091444015503,0.05179178714752197,0.9986096024513245,0.4762570858001709,0.6702545285224915,-0.2476353943347931,0.9993838667869568,0.5161260366439819,0.7537127137184143,0.11076425015926361,0.41088613867759705,0.5083267092704773,0.785094141960144,-0.381028950214386,0.9979998469352722,0.5599011182785034,0.8308588862419128,0.0003858092240989208,0.788469135761261,0.5555024147033691,0.8792228698730469,-0.4137278199195862,0.9970371127128601,0.5789269208908081,0.8356550335884094,-0.0011658445000648499,0.8933056592941284,0.5728771686553955,0.8878886699676514,-0.471435010433197,0.9944038987159729,0.5819137692451477,0.8397800922393799,-0.04073780030012131,0.8979691863059998,0.5776075124740601,0.8792005777359009,-0.4435584545135498,0.9931617379188538,0.5736199021339417,0.8385738730430603,-0.0185394249856472,0.8949102163314819,0.5707100629806519,0.8764109015464783,-0.40652456879615784,0.9911087155342102,0.3805835247039795,0.5057495832443237,0.11566929519176483,0.999122142791748,0.3665143847465515,0.5021188259124756,-0.11518321931362152,0.9991263151168823,0.34177112579345703,0.6666057705879211,0.17423966526985168,0.5372968316078186,0.33389973640441895,0.6683796048164368,-0.05521628260612488,0.9974533319473267,0.28851547837257385,0.7879489660263062,0.29205355048179626,0.8226385712623596,0.27004021406173706,0.808866024017334,0.03014645352959633,0.996703028678894,0.27406007051467896,0.8099606037139893,0.2990242838859558,0.9022807478904724,0.25609713792800903,0.831721305847168,0.031826749444007874,0.9942883849143982,0.3213139474391937,0.8348135352134705,0.2441808432340622,0.9290410876274109,0.3123099207878113,0.8545433282852173,-0.05172186344861984,0.9974793791770935
Adho mukha svanasana - Downward_facing Dog,0.48958197236061096,0.7356792688369751,-0.10939967632293701,0.9997643232345581,0.49927711486816406,0.7345893979072571,-0.09407462179660797,0.9996930360794067,0.4996216297149658,0.7325505018234253,-0.09413118660449982,0.9997348189353943,0.499938428401947,0.7303500771522522,-0.09413500130176544,0.9997422099113464,0.4985736012458801,0.7354953289031982,-0.13003700971603394,0.9997774958610535,0.49820461869239807,0.7341599464416504,-0.13010704517364502,0.9998003840446472,0.4976518750190735,0.7330610752105713,-0.13020095229148865,0.9997929334640503,0.5004141926765442,0.7143391966819763,-0.028901752084493637,0.9996514916419983,0.4966541826725006,0.7164738178253174,-0.17616645991802216,0.9997697472572327,0.4841822683811188,0.7206519842147827,-0.0761876255273819,0.9996671080589294,0.4826376438140869,0.7204123735427856,-0.12138636410236359,0.9996674656867981,0.48141685128211975,0.6589885950088501,0.060893021523952484,0.9985864162445068,0.4705030918121338,0.673630952835083,-0.24690619111061096,0.9993768930435181,0.5147647857666016,0.755193829536438,0.12087918817996979,0.4255857467651367,0.5060401558876038,0.7865986227989197,-0.3642914891242981,0.9979549050331116,0.5619508624076843,0.8306153416633606,0.0015197988832369447,0.7901661396026611,0.5557979941368103,0.8791582584381104,-0.3701014220714569,0.9969086647033691,0.5807470083236694,0.8356203436851501,0.0009963845368474722,0.8934662938117981,0.5731571912765503,0.8870022296905518,-0.4170946180820465,0.9940299391746521,0.5834527611732483,0.8397273421287537,-0.03499167039990425,0.897921621799469,0.5779485106468201,0.878771960735321,-0.39203599095344543,0.9927244186401367,0.5754865407943726,0.8386051654815674,-0.01781943440437317,0.8946958780288696,0.5710741877555847,0.8760486245155334,-0.36246946454048157,0.9906724095344543,0.37957996129989624,0.5052937865257263,0.11501649767160416,0.9990234375,0.3640757203102112,0.501286506652832,-0.11457990109920502,0.9990578293800354,0.34198030829429626,0.6661977767944336,0.17271937429904938,0.540278434753418,0.3328593373298645,0.668090283870697,-0.043514519929885864,0.9975281357765198,0.28859633207321167,0.787915050983429,0.29006227850914,0.8278005719184875,0.26972129940986633,0.8104986548423767,0.035052500665187836,0.9968542456626892,0.2740897238254547,0.810775101184845,0.2979136109352112,0.9042946100234985,0.2562997341156006,0.8326126337051392,0.03245450556278229,0.9944540858268738,0.3215590715408325,0.8343720436096191,0.241592139005661,0.9306265115737915,0.3126382529735565,0.8536701798439026,-0.04449281096458435,0.9975782036781311
Adho mukha svanasana - Downward_facing Dog,0.47817835211753845,0.7412283420562744,-0.10590122640132904,0.9997684955596924,0.48831087350845337,0.743468165397644,-0.09019497781991959,0.9997049570083618,0.4890686869621277,0.7416853308677673,-0.09028773009777069,0.999744713306427,0.4897736608982086,0.7396075129508972,-0.09030754864215851,0.9997475743293762,0.4876594543457031,0.7439531087875366,-0.12456350028514862,0.9997855424880981,0.48782992362976074,0.7425089478492737,-0.12462270259857178,0.9998075366020203,0.4878743290901184,0.7412203550338745,-0.12473662197589874,0.9997997879981995,0.493478924036026,0.7246294021606445,-0.023085031658411026,0.9996609687805176,0.49072661995887756,0.7245380878448486,-0.17048676311969757,0.9997809529304504,0.4750056266784668,0.7236211895942688,-0.07143750786781311,0.9996803998947144,0.4738822877407074,0.7234161496162415,-0.11511234939098358,0.9996839761734009,0.4801636338233948,0.6592491865158081,0.06676456332206726,0.9985603094100952,0.47018638253211975,0.6735179424285889,-0.2400604486465454,0.9993913173675537,0.5144819617271423,0.7543962001800537,0.12302062660455704,0.42763835191726685,0.506006121635437,0.7863005995750427,-0.35836443305015564,0.998015820980072,0.5616631507873535,0.8304539918899536,0.011544883251190186,0.787768542766571,0.5559261441230774,0.8786525130271912,-0.35026079416275024,0.9969221353530884,0.5802671909332275,0.8354687094688416,0.015318329446017742,0.8921746015548706,0.5737734436988831,0.8864845037460327,-0.395004004240036,0.9939167499542236,0.5828806161880493,0.839698851108551,-0.020484885200858116,0.8965985178947449,0.5784459710121155,0.8787993788719177,-0.36707785725593567,0.9925870299339294,0.5748769044876099,0.838581919670105,-0.0056679947301745415,0.8933545351028442,0.5715427398681641,0.8759809732437134,-0.34085655212402344,0.9905797243118286,0.37921303510665894,0.5049691200256348,0.11449992656707764,0.998984694480896,0.3631882965564728,0.5000166296958923,-0.11402691900730133,0.999054491519928,0.34221071004867554,0.6680672764778137,0.1714693158864975,0.5451461672782898,0.3332628905773163,0.668499767780304,-0.043805696070194244,0.9976577162742615,0.2887044847011566,0.7907410264015198,0.28021302819252014,0.8353266716003418,0.26857835054397583,0.8137040138244629,0.0320434644818306,0.9970690011978149,0.27365750074386597,0.8125050067901611,0.28516238927841187,0.9085971117019653,0.25453221797943115,0.8333591222763062,0.030567592009902,0.9947630167007446,0.32131925225257874,0.8346796035766602,0.23209159076213837,0.9337753057479858,0.3113712966442108,0.8539983034133911,-0.052667099982500076,0.9977315664291382
Adho mukha svanasana - Downward_facing Dog,0.46640944480895996,0.7428696751594543,-0.10120537132024765,0.9997692704200745,0.4772724509239197,0.7471656799316406,-0.08476628363132477,0.9997127652168274,0.47858232259750366,0.7454899549484253,-0.08483634889125824,0.9997510313987732,0.47988733649253845,0.7436107397079468,-0.08485148847103119,0.9997485876083374,0.4764910340309143,0.7476822733879089,-0.1180594190955162,0.9997901916503906,0.4771638810634613,0.746350109577179,-0.11811286211013794,0.9998115301132202,0.47779327630996704,0.7452236413955688,-0.11821237951517105,0.9998031854629517,0.4864445626735687,0.7293882369995117,-0.022304009646177292,0.9996672868728638,0.4839642643928528,0.728233277797699,-0.17160961031913757,0.9997904896736145,0.46535658836364746,0.7236442565917969,-0.06771347671747208,0.9996912479400635,0.46523532271385193,0.7243093848228455,-0.11091317236423492,0.9996978640556335,0.48044905066490173,0.6597245335578918,0.0655260756611824,0.9985584020614624,0.4696740508079529,0.6729689836502075,-0.23421065509319305,0.9994139671325684,0.5144016742706299,0.7538604736328125,0.1258784681558609,0.4258275032043457,0.5056713819503784,0.7854675054550171,-0.35788801312446594,0.998066782951355,0.5613040328025818,0.8303734064102173,0.02106558345258236,0.7848442792892456,0.5570050477981567,0.8771730065345764,-0.3467816412448883,0.9969488978385925,0.5798975825309753,0.83543461561203,0.0270061157643795,0.8913989663124084,0.575817883014679,0.8847892880439758,-0.3906034827232361,0.9938285946846008,0.5830903053283691,0.839661180973053,-0.008703051134943962,0.8958559632301331,0.580327033996582,0.8771646022796631,-0.3614509403705597,0.99247807264328,0.5748620629310608,0.8384578227996826,0.004796113818883896,0.8927002549171448,0.5733067989349365,0.874261200428009,-0.33664852380752563,0.990534245967865,0.3781530559062958,0.5047124028205872,0.1139199510216713,0.9989590048789978,0.36193910241127014,0.49927377700805664,-0.1135014072060585,0.9990606904029846,0.3413040041923523,0.6687493920326233,0.1720883548259735,0.5509498119354248,0.3319110870361328,0.6688933968544006,-0.04000323265790939,0.9978025555610657,0.2876514196395874,0.7931461930274963,0.280573308467865,0.8432074785232544,0.26749125123023987,0.8154574036598206,0.03433365002274513,0.9972878098487854,0.2724575996398926,0.8142668604850769,0.2854345142841339,0.9133133292198181,0.2531272768974304,0.8347543478012085,0.03427135571837425,0.9950956702232361,0.3210190236568451,0.8347336053848267,0.23250019550323486,0.9372246265411377,0.3110099136829376,0.8542773127555847,-0.04899855703115463,0.9978905320167542
